岗位,等级,T (技术力),S (软技能),D (设计力),C (协作力),K (标准力),L (领导力)
供应链工程（仓库）,L1,会使用叉车等搬运工具；能识别物料标签；会操作 ERP 进行出入库登记。,吃苦耐劳；做事有条理，物料摆放整齐。,能保持仓库环境整洁（5S）,服从发货安排；与领料人员核对数量。,了解仓库安全规范；熟悉物料防护要求。,遵守考勤与安全制度。
,L2,熟练操作 ERP 库存模块；掌握定期盘点技巧；能处理简单的账实不符问题。,具备数据敏感度，能发现异常库存；工作严谨,能够规划库位，提升空间利用率；设计物料标识卡。,与采购对接物料到货计划；与生产对接缺料预警,熟悉先进先出（FIFO）原则；掌握呆滞料判定标准。,确保个人负责区域库存准确率（误差
,L3,掌握物料需求计划（MRP）逻辑；能进行库存周转率分析；熟练使用 Excel 进行数据分析。,具备计划统筹能力；能应对突发插单带来的物料波动。,优化物料流转流程；设计安全库存水位与补货模型。,协调销售、生产、采购平衡供需关系；推动呆滞料处理。,精通仓库管理制度与流程；熟悉物流运输规范。,负责小组盘点工作；指导 L1/L2 人员操作规范
,L4,掌握 WMS 系统应用；具备物流规划能力；能进行供应链数据可视化分析。,极强的问题解决能力；具备成本控制与效率提升意识。,规划智能仓储方案（如 AGV 应用）；设计全流程条码管理体系。,协调跨部门资源优化整体供应链效率；管理第三方物流（3PL）。,建立仓储物流标准化作业程序（SOP）；主导库存审计。,管理仓储团队；对库存准确率与物流成本负责
,L5,具备精益物流思维；掌握全球物流网络布局。,战略规划能力；推动供应链数字化变革。,设计端到端的供应链可视平台；构建弹性供应链网络。,与全球合作伙伴建立深度物流协同。,制定公司级物流与库存管理标准。,打造行业标杆级的数智化物流中心。
市场,L1,会使用视频剪辑软件、排版工具；熟悉微信公众号后台操作；能进行基础的 SEO 优化。,执行力强，按时完成内容发布；具备良好的文字功底。,能制作标准的产品宣传单页和海报；撰写基础的新闻稿。,积极配合销售部门的需求；与供应商（展会搭建、印刷）沟通顺畅。,了解广告法及品牌 VI 规范；熟悉各媒体平台的发布规则。,按时完成线索收集指标（15条/月）
,L2,掌握短视频拍摄与运营技巧；能使用 Google Analytics 分析网站流量；熟练操作 CRM 市场模块。,具备一定的数据分析能力，能评估渠道投放效果；具备敏锐的热点捕捉能力。,策划并执行单一产品线的推广活动；设计有吸引力的内容脚本。,与研发部门深入沟通，挖掘产品技术亮点转化为营销语言。,熟悉行业展会（如机床展、清洗展）的运作流程。,独立负责某一渠道（如抖音或领英）的运营指标。
,L3,精通数字营销全链路（SEM/SEO/Social）；具备线索孵化（Lead Nurturing）能力；能撰写深度行业白皮书。,具备项目管理能力，能统筹大型展会；具备优秀的公关危机处理意识。,策划年度市场推广计划；设计品牌 IP 化内容体系；构建线索评分模型。,协调销售与市场部的线索交接标准；管理外部代理商提升 ROI。,掌握竞品分析方法论；熟悉全球各区域的数据隐私法规（GDPR）。,带领小团队完成线索转化目标（SQL）；负责市场预算控制。
,L4,掌握营销自动化工具（Marketing Automation）；具备全渠道营销战略思维。,极强的商业洞察力，能发现新的细分市场机会；卓越的品牌故事讲述能力。,构建 GRT 品牌资产体系；设计全球化的品牌传播矩阵。,准确向技术部传达客户需求;配合经理制作标书。,建立完善的市场情报系统；参与制定公司品牌战略标准。,负责市场部整体绩效；培养市场人才；驱动品牌溢价提升。
,L5,数字化转型的布道者；利用 AI/大数据驱动市场决策。,战略级的视野与格局；推动企业文化与品牌文化的融合。,设计公司第二增长曲线的市场切入路径；创新生态营销模式。,在全球范围内建立品牌影响力；与投资者、政府建立深度公关关系。,定义行业市场标准。,属于公司核心决策层；通过品牌力量赋能业务爆发式增长。
销售与项目服务经理,L1,了解通过式、机器人式等标准产品参数;会录入CRM,具备商务礼仪;响应迅速;能完成每日拜访量,根据模板制作报价单与PPT;整理客户反馈,准确向技术部传达客户需求;配合经理制作标书。,了解基本合同法常识;熟悉公司销售审批流程,自我驱动，按时完成销售行政任务
,L2,独立讲解标准机型技术优势;理解洁净度指标;能现场勘测,掌握基础谈判技巧，能处理常规异议;具备一定抗压能力。,根据客户需求草拟初步技术方案;设计针对性的商务条款。,与方案、报价团队高效配合，确保方案按时提交,熟悉行业竞品特点；掌握招投标流程规范；理解结算条款,独立承担并达成个人季度业绩目标；展现出良好的职业操守
,L3,深度掌握汽车/液压行业工艺(如真空干燥);能主导DC1600W等复杂项目方案。,卓越的谈判能力(双赢思维);具备KAM(大客户管理能力;能处理危机。,主导复杂项目解决方案构建;设计差异化价值主张;制定回款风险管控方案,协调公司高层资源参与重大项目攻坚;在M4-M11阶段作为内外接口,精通国际贸易条款，掌握复杂合同法律风险，深刻理解回款风险管控红线,带领销售小组；辅导新人；作为回款第一责任人，对项目盈利负责
,L4,具备行业专家视野;能对客户未来的产线规划提出数智化改进建议。,极强的战略洞察力，能布局区域市场;具备与CXO级别对话的能力。,设计区域市场渗透策略;创新销售模式(如设备租赁或按量收费),整合代理商、合作伙伴等外部资源构建销售生态圈。,深刻理解宏观经济对行业投资的影响，建立公司级销售合规体系,负责大区P&L（损益）；培养销售精英；塑造高绩效团队文化
,L5,预判清洗行业的技术趋势;定义行业领先的智能清洗算法标准,卓越的变革管理能力;具备强大的个人魅力和行业号召力。,设计全公司的全球化营销战略;重塑公司商业模式与盈利逻辑,在国际论坛、行业协会建立品牌护城河;推动跨国项目高效协同,制定行业级的销售政策标准，定义公司长期的合规运营逻辑,驱动公司业绩持续指数级增长；决定市场资源的战略动向
