GRT事业部成员六大能力模型评分细则,,,,,,,
岗位,等级,T (技术力),S (软技能),D (设计力),C (协作力),K (标准力),L (领导力)
机械研发,L1,熟练使用 CAD/SolidWorks 进行简单零部件制图；理解 BOM 表结构；认识 304 不锈钢等基础材料特性。,能按时完成绘图任务；具备基本的空间想象力；工作细致，图纸标注规范。,能对现有图纸进行简单的尺寸修正；能够辅助设计简单的管路支架。,能够清晰汇报设计进度；遇到技术难点及时向导师求助。,了解 GRT 制图规范；知晓 ISO 9001 基本质量要求。,自我管理良好，遵守研发纪律。
,L2,能独立设计标准清洗槽体及管路布局；掌握泵、电机等标准件选型计算；理解喷淋压力与流量的关系。,具备现场问题排查能力，能分析简单的机械干涉原因；具备一定的抗压能力。,能进行子模块（如过滤系统、加热系统）的优化设计；能够设计防错工装。,能与电气工程师确认传感器安装位置；能配合采购明确非标件加工工艺。,熟悉机械安全标准（如急停位置、防护罩设计）；掌握流体密封设计规范。,能够指导 L1 人员进行图纸标准化。
,L3,精通 GRT-TC8090 等复杂项目的整体布局设计；掌握真空腔体耐压设计及密封技术；能进行流体仿真分析。,具备极强的逻辑思维，能预判设计风险；能独立解决现场调试中的疑难杂症（如窜液、震动）。,主导非标项目的模块化设计；能提出创新性的降本设计方案（如优化板材利用率）。,"能够主导与客户（如 Halms, BorgWarner）的技术澄清会议；协调制造部门解决装配难题。",精通 ISO 16232 清洁度标准；熟悉 ASME 或 CE 认证中的机械安全要求。,担任项目机械负责人；能够制定项目机械设计计划。
,L4,掌握行业前沿技术（如超高压去毛刺、微米级过滤技术）；能解决行业级的机械结构难题（如高速旋转动平衡）。,具备系统性思维，能从全生命周期考虑设备可靠性；具备极强的技术敏锐度。,研发全新的清洗平台架构；主导核心机构（如机器人抓手、精密旋转台）的专利设计。,能协调跨部门资源解决重大质量事故；能与顶级供应商（如 Grundfos）进行联合研发。,参与制定企业级或行业级机械设计标准；建立公司内部的设计知识库。,培养机械研发梯队；审核关键项目图纸；主导部门技术路线规划。
,L5,定义公司未来 3-5 年的机械技术发展方向；具备跨学科（机械+流体+材料）的深厚造诣。,卓越的商业与技术融合思维，能将客户隐性需求转化为颠覆性产品。,构建 GRT 机械设计的底层逻辑与标准化平台；推动数智化设计工具（如 Digital Twin）的应用,代表公司在国际行业论坛发声；构建全球化的技术合作伙伴生态。,对标德国/日本竞品，建立超越国际标准的企业技术壁垒。,全面负责机械研发团队的绩效与成长；驱动技术创新直接转化为商业价值。
电气研发,L1,熟悉电气原理图符号；了解西门子 S7-1200 硬件架构；能进行简单的 I/O 分配和接线图绘制。,逻辑清晰，能按步骤进行代码测试；具备基本的电气安全意识。,能根据机械动作表编写简单的逻辑控制段（如气缸动作）。,能准确理解机械工程师的动作时序要求；及时反馈调试进度。,了解 GB/IEC 电气制图标准；熟悉公司电气元件选型库。,按时完成分配的编程任务。
,L2,熟练使用 TIA Portal 进行编程；掌握变频器（SEW）、伺服驱动器的参数调试；能设计 HMI 交互界面。,具备现场电气故障快速诊断能力；能适应出差调试；代码书写规范，注释清晰。,能设计标准设备的电气柜布局；能优化程序结构，提升运行效率。,能与机械配合解决动作同步问题；指导电工进行柜内布线。,掌握电气安全回路设计规范（急停、光幕）；熟悉 IP 防护等级要求。,指导 L1 人员规范代码风格。
,L3,精通多轴运动控制及机器人（KUKA/Fanuc）通讯集成；掌握高压清洗（GRT-DC1600W）的复杂逻辑控制；熟悉工业总线（Profinet/EtherCAT）。,具备系统架构思维，能处理复杂的并发逻辑；具备极强的风险排查能力。,主导大型产线（如 GRT-TC8090）的电气系统架构设计；开发模块化、标准化的程序库。,能对接客户 MES 系统接口；能主导现场 FAT/SAT 电气部分的验收。,精通 UL/CE 电气认证标准；掌握数据采集与网络安全规范。,担任项目电气负责人；负责电气BOM成本控制
,L4,掌握机器视觉（3D Vision）算法在清洗定位中的应用；具备 AI 算法在能耗优化中的应用能力；精通数字化双胞胎调试。,极强的创新能力，能引入新技术解决瓶颈问题；具备全局的技术前瞻性。,研发 GRT 专属的智能控制系统框架；设计具有预测性维护功能的物联网（IoT）方案。,协调全球范围内的电气零部件供应链技术问题；解决跨国项目的电气标准兼容性。,制定公司电气设计与编程标准；主导建立电气故障案例库。,规划电气团队技术栈；培养高级电气人才；主导重大技术攻关。
,L5,引领工业 4.0 在清洗行业的落地；具备软硬件结合的顶层架构能力。,卓越的战略视野，推动“软件定义设备”的转型。,构建云边端协同的智能服务平台；重塑电气研发流程，实现敏捷开发。,建立行业级的电气生态联盟；影响行业电气标准的制定。,定义下一代智能清洗装备的电气标准体系。,驱动研发部门的数字化转型；对公司技术战略负责。
销售与项目,L1,了解公司产品线（通过式、机器人式等）基本参数；会使用 CRM 系统录入信息。,积极热情，响应迅速；具备基本的商务礼仪。,能根据模板制作简单的报价单和 PPT。,准确传递客户需求给技术部门；配合经理完成标书制作。,了解基本的合同法常识；熟悉公司销售流程与审批制度。,自我驱动，完成每日拜访量。
,L2,能独立讲解 GRT 标准机型技术优势；理解清洁度指标含义；能进行简单的现场勘测。,具备基本的谈判技巧；能处理常规的客户异议；具备一定的抗压能力。,能根据客户需求草拟初步技术方案书；设计针对性的商务条款。,与内部团队（方案、报价）高效配合，确保方案按时提交。,熟悉行业竞争对手产品特点；掌握招投标流程规范,独立承担并达成个人季度销售指标。
,L3,深度掌握汽车/液压行业工艺流程；能与客户技术人员进行深层次的工艺探讨（如真空干燥原理）；能识别客户痛点。,卓越的商务谈判能力（双赢思维）；具备大客户关系管理（Key Account Management）能力。,能主导复杂项目（如 GRT-DC1600W）的解决方案构建；设计差异化的价值主张。,能协调公司高层资源参与重大项目攻坚；妥善处理客户投诉与危机。,精通国际贸易条款（Incoterms）；熟悉各行业的合规性要求。,带领销售小组；辅导新人技能提升；对项目回款负责。
,L4,具备行业技术专家的视野；能对客户未来的产线规划提出建设性意见；熟悉 AI/数字化在清洗中的应用价值。,极强的战略洞察力，能布局区域市场；具备高层对话能力（CXO 级别）。,设计区域市场渗透策略；创新销售模式（如设备租赁、清洗服务化）。,整合内外部资源（代理商、合作伙伴）构建销售生态圈。,深刻理解宏观经济对行业投资的影响；掌握复杂的合同法律风险控制。,负责大区 P&L（损益）；培养销售精英；塑造高绩效团队文化。
,L5,行业思想领袖；能预判清洗行业的技术与市场趋势。,卓越的变革管理能力；极具个人魅力和影响力,设计全公司的全球化营销战略；重塑公司商业模式。,在行业协会、国际论坛建立公司品牌影响力。,制定公司级的销售政策与合规体系。,驱动公司业绩持续高增长；决定市场资源的战略投向。
采购与项目,L1,熟悉 ERP 采购模块操作；认识主要物料（泵、阀、钢材）；能进行简单的比价。,工作细致，订单录入准确；具备基本的沟通能力。,能整理供应商档案；制作采购报表。,及时向供应商传达订单需求；反馈到货信息给仓库。,了解采购合同基本条款；熟悉公司采购流程,执行力强，遵守职业道德。
,L2,掌握各类机电产品的成本构成；能进行简单的商务谈判；具备异常物料处理能力。,具备成本意识，能识别不合理报价；抗压能力强，能催货。,能开发新供应商；设计降本方案（如国产替代）,与技术部门沟通物料选型；与品质部门处理来料不良。,熟悉供应商准入标准；了解,承担特定品类的降本指标（8%）1。
,L3,精通供应链总成本（TCO）分析；具备极强的商务博弈与谈判技巧；能进行供应商绩效评估。,具备敏锐的市场嗅觉，能预判价格波动；具备风险管理能力。,策划年度采购策略（集采、框采）；优化付款账期与现金流。,协调研发、质量、供应商进行联合技术攻关；解决重大交付危机。,精通合同法、国际贸易术语；建立供应商分级管理标准。,辅导助理成长；负责核心供应商的关系维护。
,L4,掌握全球供应链资源布局；具备供应链金融思维；能运用数字化工具优化采购流程。,战略思维，能将采购与公司战略对齐；卓越的危机处理与资源整合能力。,构建具有竞争力的供应链生态体系；设计供应链风险熔断机制。,推动跨部门的供应链协同（S&OP）；与高层供应商建立战略伙伴关系。,制定公司级采购制度与合规体系；主导供应链审计。,负责采购团队绩效；打造廉洁高效的采购文化；确保供应连续性。
,L5,具备全球供应链视野；利用 AI 优化供应链网络。,变革型领导力；推动供应链成为公司核心竞争力。,设计数字化、智能化的敏捷供应链架构。,整合全球资源服务公司战略；在行业供应链峰会发声。,建立行业领先的供应链标准。,参与公司战略决策；驱动全价值链的成本与效率优化。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
