阶段,表单ID,表单名称,字段名称,字段类型,是否必填,选项值,分组,帮助文本
M0,M0-1,客户管理,客户名称,文本,是,,基本信息,请输入客户全称
M0,M0-1,客户管理,客户编码,文本,是,,基本信息,系统自动生成
M0,M0-1,客户管理,行业领域,单选,是,汽车/半导体/工业/医疗/消费电子,基本信息,
M0,M0-1,客户管理,联系人,文本,是,,联系方式,
M0,M0-1,客户管理,联系电话,文本,是,,联系方式,
M0,M0-1,客户管理,联系邮箱,文本,否,,联系方式,
M0,M0-1,客户管理,客户等级,单选,是,S/A/B/C/D,分类,客户分级评估
M0,M0-1,客户管理,所属区域,单选,是,华东/华南/华北/西南/海外,分类,
M0,M0-2,商机登记,商机名称,文本,是,,商机信息,
M0,M0-2,商机登记,客户名称,文本,是,,商机信息,关联客户
M0,M0-2,商机登记,预计金额,数字,是,,商机信息,单位：万元
M0,M0-2,商机登记,预计成交日,日期,是,,商机信息,
M0,M0-2,商机登记,商机来源,单选,是,展会/转介绍/网站/电话/招标,商机信息,
M0,M0-2,商机登记,商机阶段,单选,是,线索/意向/方案/报价/谈判/成交,商机信息,
M0,M0-2,商机登记,负责人,文本,是,,跟进信息,
M0,M0-2,商机登记,备注,多行文本,否,,跟进信息,
M1,M1-1,需求调研表,项目名称,文本,是,,项目信息,
M1,M1-1,需求调研表,客户名称,文本,是,,项目信息,
M1,M1-1,需求调研表,产品类型,单选,是,标准设备/定制设备/改造项目/技术服务,项目信息,
M1,M1-1,需求调研表,技术要求,多行文本,是,,技术需求,详细描述技术指标
M1,M1-1,需求调研表,性能指标,多行文本,是,,技术需求,如节拍/精度/产能等
M1,M1-1,需求调研表,工艺要求,多行文本,否,,技术需求,
M1,M1-1,需求调研表,交付期限,日期,是,,商务需求,
M1,M1-1,需求调研表,预算范围,单选,否,50万以下/50-100万/100-500万/500万以上,商务需求,
M1,M1-2,技术可行性分析,项目名称,文本,是,,基本信息,
M1,M1-2,技术可行性分析,分析人,文本,是,,基本信息,
M1,M1-2,技术可行性分析,技术方案概述,多行文本,是,,技术评估,
M1,M1-2,技术可行性分析,关键技术难点,多行文本,是,,技术评估,
M1,M1-2,技术可行性分析,技术风险等级,单选,是,高/中/低,风险评估,
M1,M1-2,技术可行性分析,可行性结论,单选,是,可行/有条件可行/不可行,风险评估,
M1,M1-2,技术可行性分析,所需资源,多行文本,否,,资源评估,
M2,M2-1,方案设计书,项目名称,文本,是,,基本信息,
M2,M2-1,方案设计书,方案版本,文本,是,,基本信息,如V1.0
M2,M2-1,方案设计书,设计人,文本,是,,基本信息,
M2,M2-1,方案设计书,总体方案描述,多行文本,是,,方案内容,
M2,M2-1,方案设计书,机械方案,多行文本,是,,方案内容,
M2,M2-1,方案设计书,电气方案,多行文本,是,,方案内容,
M2,M2-1,方案设计书,软件方案,多行文本,否,,方案内容,
M2,M2-1,方案设计书,BOM初稿,多行文本,否,,物料,
M2,M2-1,方案设计书,预计成本,数字,是,,商务,单位：万元
M2,M2-2,报价单,项目名称,文本,是,,报价信息,
M2,M2-2,报价单,客户名称,文本,是,,报价信息,
M2,M2-2,报价单,报价金额,数字,是,,报价信息,单位：万元
M2,M2-2,报价单,报价有效期,日期,是,,报价信息,
M2,M2-2,报价单,付款条件,单选,是,预付30%+发货60%+验收10%/预付50%+验收50%/货到付款/其他,商务条款,
M2,M2-2,报价单,交货周期,文本,是,,商务条款,如12周
M2,M2-2,报价单,质保条款,多行文本,否,,商务条款,
M3,M3-1,立项评审表,项目编号,文本,是,,项目信息,
M3,M3-1,立项评审表,项目名称,文本,是,,项目信息,
M3,M3-1,立项评审表,项目经理,文本,是,,项目信息,
M3,M3-1,立项评审表,合同金额,数字,是,,商务信息,单位：万元
M3,M3-1,立项评审表,毛利率,数字,是,,商务信息,百分比
M3,M3-1,立项评审表,技术评审结论,单选,是,通过/有条件通过/不通过,评审结论,
M3,M3-1,立项评审表,商务评审结论,单选,是,通过/有条件通过/不通过,评审结论,
M3,M3-1,立项评审表,综合评审结论,单选,是,立项/暂缓/否决,评审结论,
M3,M3-1,立项评审表,评审意见,多行文本,否,,评审结论,
M3,M3-2,项目启动会纪要,项目编号,文本,是,,会议信息,
M3,M3-2,项目启动会纪要,会议日期,日期,是,,会议信息,
M3,M3-2,项目启动会纪要,参会人员,多行文本,是,,会议信息,
M3,M3-2,项目启动会纪要,项目里程碑计划,多行文本,是,,会议内容,
M3,M3-2,项目启动会纪要,资源分配方案,多行文本,是,,会议内容,
M3,M3-2,项目启动会纪要,风险识别,多行文本,否,,会议内容,
M3,M3-2,项目启动会纪要,待办事项,多行文本,是,,会议内容,
M4,M4-1,方案冻结确认书,项目编号,文本,是,,项目信息,
M4,M4-1,方案冻结确认书,冻结版本,文本,是,,冻结信息,
M4,M4-1,方案冻结确认书,冻结日期,日期,是,,冻结信息,
M4,M4-1,方案冻结确认书,机械设计状态,单选,是,完成/进行中/未开始,设计状态,
M4,M4-1,方案冻结确认书,电气设计状态,单选,是,完成/进行中/未开始,设计状态,
M4,M4-1,方案冻结确认书,BOM冻结确认,单选,是,是/否,设计状态,
M4,M4-1,方案冻结确认书,遗留问题,多行文本,否,,补充信息,
M4,M4-1,方案冻结确认书,确认签字,文本,是,,补充信息,项目经理/技术负责人
M5,M5-1,详细设计检查表,项目编号,文本,是,,项目信息,
M5,M5-1,详细设计检查表,检查日期,日期,是,,项目信息,
M5,M5-1,详细设计检查表,机械图纸完成度,数字,是,,设计进度,百分比
M5,M5-1,详细设计检查表,电气图纸完成度,数字,是,,设计进度,百分比
M5,M5-1,详细设计检查表,软件开发进度,数字,否,,设计进度,百分比
M5,M5-1,详细设计检查表,FMEA完成状态,单选,是,完成/进行中/未开始,质量文件,
M5,M5-1,详细设计检查表,控制计划状态,单选,是,完成/进行中/未开始,质量文件,
M5,M5-1,详细设计检查表,设计评审结论,单选,是,通过/有条件通过/需返工,评审结论,
M5,M5-2,BOM发布审批,项目编号,文本,是,,BOM信息,
M5,M5-2,BOM发布审批,BOM版本,文本,是,,BOM信息,
M5,M5-2,BOM发布审批,物料总数,数字,是,,BOM信息,
M5,M5-2,BOM发布审批,采购件数量,数字,是,,BOM信息,
M5,M5-2,BOM发布审批,自制件数量,数字,是,,BOM信息,
M5,M5-2,BOM发布审批,BOM成本合计,数字,是,,成本,单位：万元
M5,M5-2,BOM发布审批,审批意见,多行文本,否,,审批,
M6,M6-1,生产工单,工单编号,文本,是,,工单信息,系统自动生成
M6,M6-1,生产工单,项目编号,文本,是,,工单信息,
M6,M6-1,生产工单,产品名称,文本,是,,工单信息,
M6,M6-1,生产工单,计划开始日期,日期,是,,排产,
M6,M6-1,生产工单,计划完成日期,日期,是,,排产,
M6,M6-1,生产工单,优先级,单选,是,紧急/高/中/低,排产,
M6,M6-1,生产工单,生产负责人,文本,是,,排产,
M6,M6-1,生产工单,备注,多行文本,否,,排产,
M6,M6-2,采购申请单,申请编号,文本,是,,申请信息,
M6,M6-2,采购申请单,项目编号,文本,是,,申请信息,
M6,M6-2,采购申请单,物料名称,文本,是,,物料信息,
M6,M6-2,采购申请单,物料编码,文本,是,,物料信息,
M6,M6-2,采购申请单,数量,数字,是,,物料信息,
M6,M6-2,采购申请单,预计单价,数字,否,,物料信息,单位：元
M6,M6-2,采购申请单,需求日期,日期,是,,物料信息,
M6,M6-2,采购申请单,供应商建议,文本,否,,物料信息,
M6,M6-3,来料检验单,检验编号,文本,是,,检验信息,
M6,M6-3,来料检验单,供应商名称,文本,是,,检验信息,
M6,M6-3,来料检验单,物料名称,文本,是,,检验信息,
M6,M6-3,来料检验单,送检数量,数字,是,,检验信息,
M6,M6-3,来料检验单,抽检数量,数字,是,,检验信息,
M6,M6-3,来料检验单,合格数量,数字,是,,检验结果,
M6,M6-3,来料检验单,不合格数量,数字,是,,检验结果,
M6,M6-3,来料检验单,检验结论,单选,是,合格/让步接收/退货/选用,检验结果,
M6,M6-3,来料检验单,检验员,文本,是,,检验结果,
M7,M7-1,装配检查表,项目编号,文本,是,,装配信息,
M7,M7-1,装配检查表,工位编号,文本,是,,装配信息,
M7,M7-1,装配检查表,装配日期,日期,是,,装配信息,
M7,M7-1,装配检查表,机械装配状态,单选,是,完成/进行中/异常,装配进度,
M7,M7-1,装配检查表,电气接线状态,单选,是,完成/进行中/异常,装配进度,
M7,M7-1,装配检查表,气动/液压状态,单选,否,完成/进行中/异常/不适用,装配进度,
M7,M7-1,装配检查表,安全防护状态,单选,是,完成/进行中/未安装,安全检查,
M7,M7-1,装配检查表,异常记录,多行文本,否,,问题跟踪,
M7,M7-2,调试记录表,项目编号,文本,是,,调试信息,
M7,M7-2,调试记录表,调试日期,日期,是,,调试信息,
M7,M7-2,调试记录表,调试工程师,文本,是,,调试信息,
M7,M7-2,调试记录表,调试项目,文本,是,,调试内容,
M7,M7-2,调试记录表,目标参数,文本,是,,调试内容,
M7,M7-2,调试记录表,实际结果,文本,是,,调试内容,
M7,M7-2,调试记录表,是否达标,单选,是,达标/未达标/需调整,调试内容,
M7,M7-2,调试记录表,问题及处理,多行文本,否,,问题跟踪,
M8,M8-1,FAT测试计划,项目编号,文本,是,,计划信息,
M8,M8-1,FAT测试计划,测试开始日期,日期,是,,计划信息,
M8,M8-1,FAT测试计划,测试结束日期,日期,是,,计划信息,
M8,M8-1,FAT测试计划,测试负责人,文本,是,,计划信息,
M8,M8-1,FAT测试计划,客户方代表,文本,否,,计划信息,
M8,M8-1,FAT测试计划,测试项目清单,多行文本,是,,测试内容,每行一个测试项
M8,M8-1,FAT测试计划,验收标准,多行文本,是,,测试内容,
M8,M8-2,FAT测试报告,项目编号,文本,是,,报告信息,
M8,M8-2,FAT测试报告,测试日期,日期,是,,报告信息,
M8,M8-2,FAT测试报告,测试项目,文本,是,,测试结果,
M8,M8-2,FAT测试报告,测试结果,单选,是,通过/不通过/有条件通过,测试结果,
M8,M8-2,FAT测试报告,实测数据,多行文本,是,,测试结果,
M8,M8-2,FAT测试报告,偏差说明,多行文本,否,,测试结果,
M8,M8-2,FAT测试报告,客户签字确认,单选,是,已确认/待确认,确认信息,
M9,M9-1,发货清单,项目编号,文本,是,,发货信息,
M9,M9-1,发货清单,发货日期,日期,是,,发货信息,
M9,M9-1,发货清单,收货地址,文本,是,,发货信息,
M9,M9-1,发货清单,运输方式,单选,是,公路/铁路/海运/空运,发货信息,
