岗位,等级,T (技术能力),S (系统能力),D (交付能力),C (客户导向),K (知识沉淀),L (领导力)
IT&EHS,L1,基础运维： 能处理 PC、打印机等办公设备的基础故障，了解基本的网络连接设置。完成基础的 EHS 巡检。,用户级应用： 熟练使用 GIMS 填报工时，使用 OA 系统提交 EHS 报告。,响应式服务： 接到 HELPDESK 报修后能按时到场，整改小型设施问题需 7 天以上。,被动服务： 仅回答内部员工的直接提问，态度端正。,记录： 填写简单的维修日志和安全检查表。,自我管理： 遵守考勤，不违规操作。
,L2,系统管理： 熟练配置 Windows/Linux 服务器，掌握 M365 基础管理。熟悉本地 EHS 法规，能独立开展安全培训。,模块级维护： 管理 M365 账户生命周期，维护 EHS 数字化台账，确保数据录入准确率 100%,SLA 达标： 确保 HELPDESK 响应率 100%，常规故障 24 小时内解决。EHS 隐患整改率 100%,动关怀： 定期回访报修人员，确保问题彻底解决。理解客户对现场 EHS 的基本要求。,归档： 确保 EHS 台账、IT 资产表完整、准确、可追溯。,协作： 在跨部门项目中配合良好，信息透明。
,L3,架构与集成： 能够独立配置 UWB 基站与 MES 接口；解决人形机器人调试中的网络延迟问题。掌握 TISAX AL2 级安全控制要求。,流程优化： 利用 Power Automate 自动化 IT/EHS 审批流程；优化视频会议系统（如 NY 会议室）的连接稳定性。,敏捷交付： 7 天内完成小型设施整改；独立完成海外办事处的 IT 基础环境搭建（远程或现场）,专业支持： 在客户审核时，能准确提供 IT 安全与 EHS 合规证据。理解 OEM 客户对数据隐私的特殊关切。,SOP 化： 编写常见 IT 故障处理手册和岗位安全操作规程（SOP），并在内部进行分享。,影响力： 负责特定项目的安全文化推广，确保全员安全培训出勤率 100%
,L4,深度安全与合规： 设计并部署跨国 VPN 与零信任架构；主导通过 ISO 45001/14001 及 TISAX AL3 审计。解决复杂的工业协议（Profinet/EtherCAT）干扰问题。,数据治理： 构建 IT 成本控制模型，实现资产全生命周期管理。通过数据分析预测 EHS 风险点并提前干预。,复杂项目交付： 统筹 OEM 客户现场的 IT/EHS 准入交付，确保零不符合项。主导大型机房搬迁或产线数字化改造项目。,信任建立： 在 TISAX 或客户二方审核中，清晰阐述 GRT 的合规逻辑，消除客户对供应链安全的顾虑。,知识库构建： 建立全球 IT 合规与 EHS 法律法规数据库。输出针对人形机器人调试环境的 IT 部署白皮书。,团队赋能： 带领 IT/EHS 团队应对突发网络攻击或安全事故，展现危机管理能力。
,L5,全球战略架构： 构建中/美/德三地互联、合规的全球 IT 灾备与安全体系。制定适应人形机器人大规模协作的 6G/Wifi7 工业网络标准。成为行业 EHS 标杆制定者。,主导 GRT 智能系统的底层安全架构重构，实现 IT/OT（运营技术）的杰瑞德自动化，通过数字孪生监控全球工厂 EHS 状态。,战略交付： 在全球新工厂建设中，实现 IT&EHS 基础设施的“即插即用”式快速部署，支撑公司全球化扩张速度。,价值共创： 与客户 IT/EHS 高层建立对话，将 GRT 的数字化与安全标准输出为行业案例，提升品牌溢价。 ,体系传承： 构建 GRT 全球 IT&EHS 培训学院体系，将隐性合规经验转化为公司级的专家系统。,文化塑造： 塑造“安全第一、数据驱动”的企业基因，通过 EHS & IT 战略为公司规避重大经营风险。
董助,L1,基础认知： 理解 GRT 清洗设备的基本原理，能使用 Office 软件。,数据录入： 准确录入会议纪要至 OneNote，无遗漏。,任务完成： 按时完成领导交办的行程预订、文档整理任务。,规范接待： 按照标准流程接待来访客户，礼貌得体。,文档整理： 分类归档会议记录和项目文件。,执行力： 服从安排，不折不扣完成任务。
,L2,工具掌握： 熟练操作 D365/M365 后台，理解 CRM/ERP 基础逻辑。熟悉 5090 机器人硬件参数。,流程执行： 在系统中正确发起和审批流程，管理 D365 基础数据。,节点控制： 跟踪项目关键里程碑（M0-M12），确保行动项（Action Items）按期关闭。,需求记录： 准确记录客户高层在会议中的隐性需求和痛点。,档案管理： 建立完善的美国工厂人员档案和税务文档库，确保无缺失。,协调力： 能协助领导安排跨部门会议，确保相关人员出席。
,L3,技术理解： 能够参与智能清洗项目的技术讨论，理解 AI 算法在工业场景的应用边界。解决一般性的跨系统数据接口问题。,流程优化： 推动 M365 与 R&D 流程的适配，消除系统断点。利用 BI 工具生成月度运营分析报告。,资源协调： 协调研发、生产、销售部门资源，确保项目进度报告的准确性与及时性。,洞察分析： 通过分析售后高频问题，向研发部门提出改进建议。识别大客户的战略合规需求。,流程标准化： 将跨部门协作的最佳实践固化为流程标准。整理智能清洗项目的技术文档,推动力： 主动追踪“死角”问题，推动跨部门达成共识。
,L4,架构参与： 深度参与公司“AI Brain”的架构设计与模块定义。精通中美德三国薪资税务的技术性合规细节。,架构规划： 设计全架构数字化运营蓝图，通过 Dashboard 实现对 BU 经营状况的实时穿透式监控。,复杂问题解决： 在 T15 阶段介入处理复杂的跨国交付遗留问题，确保回款。处理美国员工的复杂税务争议。,价值传递： 在高级别商务谈判中，用客户的语言阐述 GRT 的数字化优势，辅助达成战略合作。 ,知识资产化： 沉淀全球合规运营（Payroll/Tax/IP）的案例库，形成公司级合规白皮书。,核心驱动： 作为“核心推动者”解决团队冲突，提升组织士气，确保重大战略项目（如机器人平台）落地。
,L5,技术战略： 定义 GRT 下一代数字化运营的技术栈。主导全球并购或设厂时的技术标准融合与合规架构设计。,数治生态： 构建以 AI 为核心的企业神经系统，实现从市场需求到交付售后的全链路自动化决策支持。,战略落地： 确保公司年度战略目标（如 5000 万产值）的分解与达成，通过机制创新消除交付瓶颈。,体验管理： 构建全球一致的客户体验标准。通过数字化手段（如透明工厂）提升核心客户的战略粘性。,智慧传承： 将公司战略思想、文化价值观与管理智慧转化为数字化模型，驱动组织自我学习与进化。,战略伙伴： 成为董事长的战略参谋，在复杂多变的全球局势中提供决策支持，引领组织变革。
岗位,等级,T (技术能力),S (数治能力),D (交付能力),C (客户导向),K (知识沉淀),L (领导力)
IT软件工程师,L1,代码基础： 掌握 SQL、Python 基础，能修改简单的 PLC 梯形图。,操作员： 按照 SOP 操作 IT 系统。,辅助： 协助收集签证材料，处理速度慢,记录： 记录客户对软件的反馈。,注释： 代码注释清晰。,配合： 积极配合团队工作。
