岗位,等级,T (任务),S (技能),D (职责),C (合规),K (知识),L (领导力)
行政前台,L1,接待访客；接听电话；收发快递；维护前台卫生,商务礼仪；基础沟通技巧。,形象规范；信息传递准确。,遵守接待流程。,了解公司基本情况。,展现亲和力。
,L2,办理盖章/付款申请；协助员工活动；统计考勤。,流程执行能力；活动组织协助能力。,盖章/付款流程零差错；考勤数据准确。,严格审核盖章文件；符合财务付款规范。,熟悉印章管理制度；了解财务报销流程。,能够协调一般性行政事务。
,L3,对接专利/IP 顾问；对接园区申报数据；管理行政台账（专利/申报）,外部联络与公关能力；档案管理与数据统计能力；OneNote 任务管理。,专利申报的及时性；园区数据的准确性与时效性,确保申报材料合规；维护公司知识产权利益。,掌握专利申请流程；熟悉园区政策与申报要求。,独立负责专项事务（如专利库管理）。
,L4,优化行政流程；策划大型员工座谈会/活动；行政成本深度控制。,流程再造能力；大型活动策划与执行能力；数据分析与成本控制能力。,行政效率的提升；员工满意度的显著提高；成本预算的精准控制。,建立行政合规操作手册。,掌握企业文化建设理论；熟悉行政管理最佳实践。,作为“优秀伙伴”；提升行政团队服务水平。
,L5,构建行政服务体系；塑造雇主品牌形象；维护政府/园区公共关系。,体系建设能力；危机公关能力；高层对话能力,公司行政形象的提升；外部资源的有效获取。,确保公司行政运营全面合规。,通晓公共关系学；深入理解政策导向。,行政文化领袖；对外代表公司形象。
财务,L1,凭证整理与装订；辅助录入基础数据；银行回单打印。,熟练使用财务软件基础模块；Excel 操作熟练。,数据的及时录入。,票据合规性检查。,了解会计基础知识；熟悉报销制度。,细心、负责。
,L2,负责 AR/AP 核对；编制日常会计凭证；申报常规税务。,熟练进行账务核对；掌握增值税申报流程；能发现异常数据。,账目清晰度；申报及时性（延迟扣 2 分） 1。,严格遵守《企业会计准则》；确保无会计差错（差错扣 1 分）。,掌握全盘账务处理流程；熟悉税法基本规定。,与业务部门顺畅沟通对账事宜。
,L3,独立提交总账数据；负责税务筹划；编制对外报表；执行月度重点工作。,精通财务报表分析；具备税务风险识别与规划能力；熟练使用 OneNote 追踪任务。,总账准确性；税务筹划带来的节税额；对外报表零差错。,杜绝严重财务后果（严重扣 5 分）；确保对外披露合规。,深刻理解新会计准则；掌握高新技术企业税收优惠政策。,驱动业务部门规范财务流程；作为项目协作的可靠执行者。
,L4,建立财务风控体系；主导财务数字化转型（D365 财务模块优化）；处理复杂税务稽查。,具备高级财务建模能力；资本运作与投融资分析能力；系统实施能力。,财务体系的安全性与先进性；经营决策支持的有效性。,建立内控体系；应对外部审计与监管。,掌握国际会计准则（针对美国工厂）；通晓并购重组财务知识。,财务团队的导师；提升财务在业务决策中的话语权。
,L5,制定集团财务战略；构建业财融合的价值创造体系；驱动上市或资本化进程。,具备顶层资本设计能力；卓越的商业洞察与资源整合能力。,公司的资本价值最大化；财务战略与公司战略的对齐。,建立最高标准的合规文化。,具备宏观经济、金融市场及行业发展趋势的深厚知识。,公司核心决策层成员；CFO 级别的战略影响力。
岗位,等级,T - HR专业能力,S - 业务与组织理解,D - 项目与结果交付,C - 客户价值创造,K - 方法论与知识沉淀,L - 组织影响与推动
HR,L1,在指导下完成入离职、面试安排、数据录入等操作，了解基础法规。,了解公司业务、产品、组织架构和关键岗位名称。,按要求完成具体任务，如收集问卷、整理表格。,响应常规咨询，解答政策、流程问题。,使用现有模板和系统，规范记录工作。,配合团队完成任务，沟通清晰顺畅。
,L2,独立负责1-2个模块常规工作，如招聘、算薪、基础培训。,理解业务流程与关键岗位价值，能参与业务会议并提出建议。,独立负责小型项目（如校招），制定计划并跟踪进度。,主动收集需求，提供标准化方案（如培训清单）。,优化个人工作模板，进行案例复盘与分享。,协调跨部门事务（如组织活动），辅导新人。
,L3,精通多模块，能优化流程（如面试设计、培训体系），处理复杂员工关系。,基于业务目标设计HR方案（如销售激励、人才培养），分析人员配置效率。,推动中型项目（如绩效改革试点），管理风险并达成目标。,洞察深层痛点，设计定制化方案（如团队工作坊）。,建立模块化工作资料库（如面试题库、课程库）。,主导跨部门项目（如人才盘点），带教团队，影响氛围。
,L4,设计薪酬绩效体系、人才发展通道，处理重大劳动风险，提供专业咨询。,参与业务战略研讨，前瞻性提出人才与组织建议，预见业务风险。,领导大型跨部门战略项目（如HR系统实施、组织重组）。,成为业务伙伴，参与业务规划，主动设计人才与激励方案。,设计公司级HR方法论（如领导力模型、岗位评估体系）。,影响管理层决策，系统培养人才，推动文化变革。
,L5,制定HR战略与政策，推动组织变革，预判行业趋势，具备外部影响力。,主导组织诊断与设计，制定人才战略，驱动业务发展。,构建公司级HR项目管理体系，培养项目管理人才与文化。,构建全员体验体系与内部服务品牌，打造共赢文化生态。,构建组织知识管理体系与学习生态，推动知识传承文化。,引领组织发展与变革，培养未来领导者，驱动组织进化。
